submitted_at,started_at,finished_at,team,job_type,model_family,requested_gpus,requested_nodes,min_gpu_memory_gb,estimated_duration_min,actual_duration_min,priority,status,assigned_nodes,queue_wait_min,exit_reason,checkpoint_interval_min,job_id
2026-04-04T11:29:00Z,2026-04-04T12:50:00Z,2026-04-05T00:09:00Z,team-19,rlhf-batch,vision,8,1,48,720,679,normal,completed,gpu-node-08,81,success,30,job-00162
2026-04-13T22:50:00Z,2026-04-13T23:31:00Z,2026-04-14T08:20:00Z,team-19,finetune,embedding,1,1,48,480,529,normal,failed,gpu-node-02,41,user_code_error,60,job-00727
2026-04-02T13:17:00Z,2026-04-02T13:42:00Z,2026-04-02T19:21:00Z,team-09,evaluation,vision,4,1,48,360,339,high,completed,gpu-node-12,25,success,60,job-00072
2026-04-02T06:20:00Z,2026-04-02T06:31:00Z,2026-04-02T15:28:00Z,team-13,evaluation,multimodal,1,1,40,480,537,normal,completed,gpu-node-07,11,success,60,job-00058
2026-04-02T01:32:00Z,2026-04-02T04:14:00Z,2026-04-02T12:31:00Z,team-19,finetune,llm,16,2,80,480,497,low,failed,gpu-node-03|gpu-node-02,162,node_lost,60,job-00050
2026-04-01T18:55:00Z,2026-04-01T19:31:00Z,2026-04-02T00:03:00Z,team-03,embedding-index,llm,1,1,80,360,272,normal,completed,gpu-node-10,36,success,30,job-00039
2026-04-13T08:23:00Z,2026-04-13T08:45:00Z,2026-04-13T13:24:00Z,team-11,finetune,multimodal,2,1,40,240,279,normal,failed,gpu-node-10,22,user_code_error,60,job-00678
2026-04-05T23:23:00Z,2026-04-05T23:45:00Z,2026-04-06T01:37:00Z,team-03,batch-inference,llm,2,1,80,90,112,high,completed,gpu-node-09,22,success,90,job-00273
2026-04-05T13:18:00Z,2026-04-05T15:07:00Z,2026-04-05T15:35:00Z,team-21,finetune,llm,8,1,80,30,28,low,completed,gpu-node-02,109,success,60,job-00249
2026-04-04T13:52:00Z,2026-04-04T14:26:00Z,2026-04-04T15:10:00Z,team-13,batch-inference,llm,1,1,48,45,44,low,completed,gpu-node-08,34,success,60,job-00165
2026-04-10T21:36:00Z,2026-04-10T22:44:00Z,2026-04-10T23:11:00Z,team-19,rlhf-batch,llm,2,1,48,30,27,low,completed,gpu-node-04,68,success,90,job-00557
2026-04-11T17:35:00Z,2026-04-11T18:34:00Z,2026-04-11T21:50:00Z,team-23,pretrain,vision,4,1,48,240,196,normal,completed,gpu-node-12,59,success,60,job-00601
2026-04-03T23:44:00Z,2026-04-04T01:04:00Z,2026-04-04T01:56:00Z,team-01,finetune,multimodal,8,1,48,60,52,normal,completed,gpu-node-01,80,success,60,job-00143
2026-04-11T02:35:00Z,2026-04-11T02:49:00Z,2026-04-11T14:46:00Z,team-12,pretrain,multimodal,2,1,48,720,717,high,completed,gpu-node-09,14,success,30,job-00572
2026-04-07T17:55:00Z,2026-04-07T18:19:00Z,2026-04-07T22:37:00Z,team-21,pretrain,embedding,1,1,48,240,258,high,completed,gpu-node-09,24,success,45,job-00380
2026-04-05T04:58:00Z,2026-04-05T05:52:00Z,2026-04-05T06:49:00Z,team-18,finetune,embedding,4,1,80,45,57,normal,completed,gpu-node-09,54,success,60,job-00233
2026-04-09T14:03:00Z,2026-04-09T15:09:00Z,2026-04-09T15:43:00Z,team-20,embedding-index,multimodal,2,1,40,30,34,normal,completed,gpu-node-09,66,success,30,job-00474
2026-04-01T18:18:00Z,2026-04-01T18:40:00Z,2026-04-01T20:32:00Z,team-13,finetune,multimodal,1,1,80,180,112,low,completed,gpu-node-01,22,success,60,job-00037
2026-04-10T09:20:00Z,2026-04-10T11:11:00Z,2026-04-10T12:26:00Z,team-21,embedding-index,embedding,8,1,80,90,75,normal,completed,gpu-node-05,111,success,90,job-00535
2026-04-04T22:26:00Z,2026-04-04T22:50:00Z,2026-04-04T23:43:00Z,team-12,batch-inference,multimodal,2,1,80,60,53,low,completed,gpu-node-11,24,success,45,job-00219
2026-04-09T05:43:00Z,2026-04-09T06:06:00Z,2026-04-09T07:38:00Z,team-24,pretrain,embedding,1,1,48,90,92,normal,completed,gpu-node-04,23,success,45,job-00460
2026-04-06T20:00:00Z,2026-04-06T20:28:00Z,2026-04-06T21:46:00Z,team-01,batch-inference,vision,1,1,40,120,78,high,completed,gpu-node-06,28,success,90,job-00319
2026-04-11T15:03:00Z,2026-04-11T16:37:00Z,2026-04-11T18:37:00Z,team-03,batch-inference,llm,8,1,40,120,120,normal,completed,gpu-node-03,94,success,60,job-00600
2026-04-11T14:24:00Z,2026-04-11T14:58:00Z,2026-04-11T15:27:00Z,team-10,batch-inference,vision,2,1,80,45,29,low,completed,gpu-node-01,34,success,30,job-00596
2026-04-13T17:15:00Z,2026-04-13T17:32:00Z,2026-04-13T19:22:00Z,team-07,finetune,embedding,1,1,80,90,110,normal,completed,gpu-node-08,17,success,60,job-00713
2026-04-14T05:09:00Z,2026-04-14T05:44:00Z,2026-04-14T06:24:00Z,team-10,finetune,embedding,1,1,80,45,40,normal,completed,gpu-node-09,35,success,90,job-00739
2026-04-11T01:09:00Z,2026-04-11T02:16:00Z,2026-04-11T09:59:00Z,team-08,finetune,embedding,2,1,40,480,463,low,completed,gpu-node-06,67,success,45,job-00567
2026-04-08T15:44:00Z,2026-04-08T17:24:00Z,2026-04-08T18:05:00Z,team-11,embedding-index,embedding,1,1,48,60,41,low,completed,gpu-node-06,100,success,90,job-00428
2026-04-07T14:08:00Z,2026-04-07T14:23:00Z,2026-04-07T16:41:00Z,team-17,embedding-index,multimodal,1,1,40,120,138,high,completed,gpu-node-04,15,success,45,job-00373
2026-04-08T07:53:00Z,2026-04-08T08:48:00Z,2026-04-08T10:34:00Z,team-07,finetune,embedding,4,1,80,180,106,normal,completed,gpu-node-09,55,success,30,job-00416
