timestamp,fabric_segment,rack_id,avg_link_utilization_pct,p95_rdma_latency_us,retransmits_per_sec,drops_per_sec,congestion_state
2026-04-01T00:00:00Z,fabric-a,rack-a,34.3,10.67,2.93,1.76,normal
2026-04-01T00:00:00Z,fabric-b,rack-b,48.2,11.97,5.02,1.13,normal
2026-04-01T00:00:00Z,fabric-c,rack-c,41.6,9.48,1.42,0.69,normal
2026-04-01T00:00:00Z,fabric-d,rack-d,39.6,12.93,4.71,2.2,normal
2026-04-01T00:00:00Z,fabric-e,rack-e,30.7,10.72,3.66,0.37,normal
2026-04-01T00:00:00Z,fabric-f,rack-f,48.7,12.4,3.37,1.25,normal
2026-04-01T00:15:00Z,fabric-a,rack-a,39.1,9.55,4.45,1.46,normal
2026-04-01T00:15:00Z,fabric-b,rack-b,40.3,11.85,4.67,1.26,normal
2026-04-01T00:15:00Z,fabric-c,rack-c,42.5,8.39,2.15,1.13,normal
2026-04-01T00:15:00Z,fabric-d,rack-d,39.3,10.52,4.59,1.48,normal
2026-04-01T00:15:00Z,fabric-e,rack-e,29.7,10.62,0.78,0,normal
2026-04-01T00:15:00Z,fabric-f,rack-f,35.3,9.25,2.19,1.61,normal
2026-04-01T00:30:00Z,fabric-a,rack-a,30.8,11.09,2.57,0,normal
2026-04-01T00:30:00Z,fabric-b,rack-b,36.9,9.34,1.41,2.11,normal
2026-04-01T00:30:00Z,fabric-c,rack-c,37.5,10.5,3.31,0.68,normal
2026-04-01T00:30:00Z,fabric-d,rack-d,32.7,8.39,0,1.68,normal
2026-04-01T00:30:00Z,fabric-e,rack-e,43.3,11.05,4.34,1.86,normal
2026-04-01T00:30:00Z,fabric-f,rack-f,39.2,13.32,1.89,0.93,normal
2026-04-01T00:45:00Z,fabric-a,rack-a,27.2,9.25,0.97,0.84,normal
2026-04-01T00:45:00Z,fabric-b,rack-b,30.8,9.19,2.44,2.44,normal
2026-04-01T00:45:00Z,fabric-c,rack-c,35.1,10.29,1.27,1.87,normal
2026-04-01T00:45:00Z,fabric-d,rack-d,37.0,8.76,2.05,0.95,normal
2026-04-01T00:45:00Z,fabric-e,rack-e,37.5,10.26,0.27,1.44,normal
2026-04-01T00:45:00Z,fabric-f,rack-f,33.9,9.69,2.17,1.39,normal
2026-04-01T01:00:00Z,fabric-a,rack-a,40.8,10.61,3.32,1.12,normal
2026-04-01T01:00:00Z,fabric-b,rack-b,40.4,8.11,2.18,1.55,normal
2026-04-01T01:00:00Z,fabric-c,rack-c,39.6,8.81,1.65,1.55,normal
2026-04-01T01:00:00Z,fabric-d,rack-d,38.2,9.98,3.35,1.82,normal
2026-04-01T01:00:00Z,fabric-e,rack-e,40.1,9.44,4.03,2.08,normal
