timestamp,node_id,rack_id,pool,gpu_utilization_pct,memory_utilization_pct,power_watts,temperature_c,network_rx_gbps,network_tx_gbps,ecc_errors,active_jobs,health_state
2026-04-01T00:00:00Z,gpu-node-01,rack-a,serving,51.6,37.2,3889,49.8,4.74,2.31,0,2,normal
2026-04-01T00:00:00Z,gpu-node-02,rack-a,serving,46.1,35.4,3534,50.3,4.09,2.81,0,3,normal
2026-04-01T00:00:00Z,gpu-node-03,rack-b,serving,48.1,43.5,3687,48.1,3.36,3.28,0,3,normal
2026-04-01T00:00:00Z,gpu-node-04,rack-b,serving,42.0,37.6,3414,51.0,4.39,3.4,0,2,normal
2026-04-01T00:00:00Z,gpu-node-05,rack-c,training,54.6,53.5,4157,51.4,4.6,4.0,0,2,normal
2026-04-01T00:00:00Z,gpu-node-06,rack-c,training,43.6,35.3,3374,48.5,1.95,3.28,0,3,normal
2026-04-01T00:00:00Z,gpu-node-07,rack-d,training,47.1,38.8,3558,51.4,4.42,2.79,0,2,normal
2026-04-01T00:00:00Z,gpu-node-08,rack-d,training,43.6,42.9,3597,47.6,4.2,2.88,0,2,normal
2026-04-01T00:00:00Z,gpu-node-09,rack-e,shared,48.1,46.5,2704,49.9,3.89,2.85,0,2,normal
2026-04-01T00:00:00Z,gpu-node-10,rack-e,shared,46.5,46.3,2721,47.2,3.8,2.33,0,3,normal
2026-04-01T00:00:00Z,gpu-node-11,rack-f,shared,67.6,60.9,3744,53.8,6.56,5.84,0,5,normal
2026-04-01T00:00:00Z,gpu-node-12,rack-f,shared,54.6,45.3,3069,51.3,4.34,4.76,0,3,normal
2026-04-01T00:15:00Z,gpu-node-01,rack-a,serving,41.7,37.2,3513,46.6,1.53,3.35,0,2,normal
2026-04-01T00:15:00Z,gpu-node-02,rack-a,serving,58.2,44.3,4417,51.2,4.55,4.08,0,5,normal
2026-04-01T00:15:00Z,gpu-node-03,rack-b,serving,39.2,36.7,3296,43.5,1.66,2.77,0,1,normal
2026-04-01T00:15:00Z,gpu-node-04,rack-b,serving,47.1,38.7,3775,48.7,2.46,3.03,0,3,normal
2026-04-01T00:15:00Z,gpu-node-05,rack-c,training,51.0,47.9,3728,46.5,3.23,3.6,0,1,normal
2026-04-01T00:15:00Z,gpu-node-06,rack-c,training,61.6,55.8,4328,51.7,4.31,4.84,0,3,normal
2026-04-01T00:15:00Z,gpu-node-07,rack-d,training,43.1,31.4,3365,45.9,3.44,3.04,0,3,normal
2026-04-01T00:15:00Z,gpu-node-08,rack-d,training,31.2,28.6,2752,42.2,3.01,2.75,0,2,normal
2026-04-01T00:15:00Z,gpu-node-09,rack-e,shared,39.8,33.6,2527,42.5,1.55,1.99,0,3,normal
2026-04-01T00:15:00Z,gpu-node-10,rack-e,shared,51.0,48.3,2958,51.1,5.13,3.34,0,3,normal
2026-04-01T00:15:00Z,gpu-node-11,rack-f,shared,35.2,28.4,2150,44.8,3.03,1.88,0,1,normal
2026-04-01T00:15:00Z,gpu-node-12,rack-f,shared,47.2,47.6,2805,50.4,1.38,3.6,0,1,normal
2026-04-01T00:30:00Z,gpu-node-01,rack-a,serving,43.5,33.5,3651,45.7,2.72,2.55,0,2,normal
2026-04-01T00:30:00Z,gpu-node-02,rack-a,serving,56.2,48.9,4090,53.3,4.8,3.55,0,2,normal
2026-04-01T00:30:00Z,gpu-node-03,rack-b,serving,45.8,46.2,3650,49.8,2.24,5.17,0,3,normal
