timestamp,model_name,serving_pool,desired_replicas,ready_replicas,max_batch_size,concurrency_limit,queued_requests,kv_cache_used_gb,health_state
2026-04-01T00:00:00Z,chat-small-8b,shared,2,2,16,64,0,14.74,normal
2026-04-01T00:00:00Z,chat-mid-34b,serving,3,3,12,72,9,78.31,normal
2026-04-01T00:00:00Z,code-assist-15b,shared,2,2,14,56,9,30.0,normal
2026-04-01T00:00:00Z,vision-chat-12b,serving,2,2,8,32,4,55.71,normal
2026-04-01T00:00:00Z,embed-small,shared,2,2,64,256,1,5.41,normal
2026-04-01T00:00:00Z,reranker-3b,shared,1,1,48,96,8,4.2,normal
2026-04-01T00:00:00Z,batch-summarizer-7b,training,1,1,24,48,17,7.17,normal
2026-04-01T00:15:00Z,chat-small-8b,shared,2,2,16,64,4,16.08,normal
2026-04-01T00:15:00Z,chat-mid-34b,serving,3,3,12,72,3,81.71,normal
2026-04-01T00:15:00Z,code-assist-15b,shared,2,2,14,56,2,29.18,normal
2026-04-01T00:15:00Z,vision-chat-12b,serving,2,2,8,32,4,34.81,normal
2026-04-01T00:15:00Z,embed-small,shared,2,2,64,256,10,11.77,normal
2026-04-01T00:15:00Z,reranker-3b,shared,1,1,48,96,5,2.31,normal
2026-04-01T00:15:00Z,batch-summarizer-7b,training,1,1,24,48,5,12.07,normal
2026-04-01T00:30:00Z,chat-small-8b,shared,2,2,16,64,14,16.49,normal
2026-04-01T00:30:00Z,chat-mid-34b,serving,3,3,12,72,8,68.4,normal
2026-04-01T00:30:00Z,code-assist-15b,shared,2,2,14,56,10,31.13,normal
2026-04-01T00:30:00Z,vision-chat-12b,serving,2,2,8,32,8,37.33,normal
2026-04-01T00:30:00Z,embed-small,shared,2,2,64,256,6,9.16,normal
2026-04-01T00:30:00Z,reranker-3b,shared,1,1,48,96,9,4.18,normal
2026-04-01T00:30:00Z,batch-summarizer-7b,training,1,1,24,48,8,6.87,normal
2026-04-01T00:45:00Z,chat-small-8b,shared,2,2,16,64,7,15.2,normal
2026-04-01T00:45:00Z,chat-mid-34b,serving,3,3,12,72,6,84.27,normal
2026-04-01T00:45:00Z,code-assist-15b,shared,2,2,14,56,3,19.91,normal
2026-04-01T00:45:00Z,vision-chat-12b,serving,2,2,8,32,1,24.96,normal
2026-04-01T00:45:00Z,embed-small,shared,2,2,64,256,7,5.39,normal
2026-04-01T00:45:00Z,reranker-3b,shared,1,1,48,96,2,4.61,normal
2026-04-01T00:45:00Z,batch-summarizer-7b,training,1,1,24,48,2,10.58,normal
2026-04-01T01:00:00Z,chat-small-8b,shared,2,2,16,64,7,13.11,normal
2026-04-01T01:00:00Z,chat-mid-34b,serving,3,3,12,72,8,65.4,normal
2026-04-01T01:00:00Z,code-assist-15b,shared,2,2,14,56,10,21.09,normal
2026-04-01T01:00:00Z,vision-chat-12b,serving,2,2,8,32,7,23.71,normal
2026-04-01T01:00:00Z,embed-small,shared,2,2,64,256,7,6.37,normal
2026-04-01T01:00:00Z,reranker-3b,shared,1,1,48,96,3,5.48,normal
2026-04-01T01:00:00Z,batch-summarizer-7b,training,1,1,24,48,2,11.24,normal
2026-04-01T01:15:00Z,chat-small-8b,shared,2,2,16,64,10,17.79,normal
2026-04-01T01:15:00Z,chat-mid-34b,serving,3,3,12,72,5,42.8,normal
2026-04-01T01:15:00Z,code-assist-15b,shared,2,2,14,56,5,31.42,normal
2026-04-01T01:15:00Z,vision-chat-12b,serving,2,2,8,32,2,58.81,normal
2026-04-01T01:15:00Z,embed-small,shared,2,2,64,256,2,12.17,normal
2026-04-01T01:15:00Z,reranker-3b,shared,1,1,48,96,6,4.28,normal
2026-04-01T01:15:00Z,batch-summarizer-7b,training,1,1,24,48,7,4.8,normal
2026-04-01T01:30:00Z,chat-small-8b,shared,2,2,16,64,6,13.74,normal
2026-04-01T01:30:00Z,chat-mid-34b,serving,3,3,12,72,0,68.7,normal
2026-04-01T01:30:00Z,code-assist-15b,shared,2,2,14,56,11,36.26,normal
2026-04-01T01:30:00Z,vision-chat-12b,serving,2,2,8,32,1,48.26,normal
2026-04-01T01:30:00Z,embed-small,shared,2,2,64,256,6,7.48,normal
2026-04-01T01:30:00Z,reranker-3b,shared,1,1,48,96,8,4.52,normal
2026-04-01T01:30:00Z,batch-summarizer-7b,training,1,1,24,48,10,10.91,normal
2026-04-01T01:45:00Z,chat-small-8b,shared,2,2,16,64,6,9.6,normal
2026-04-01T01:45:00Z,chat-mid-34b,serving,3,3,12,72,6,98.42,normal
2026-04-01T01:45:00Z,code-assist-15b,shared,2,2,14,56,10,30.47,normal
2026-04-01T01:45:00Z,vision-chat-12b,serving,2,2,8,32,11,56.78,normal
2026-04-01T01:45:00Z,embed-small,shared,2,2,64,256,9,11.7,normal
2026-04-01T01:45:00Z,reranker-3b,shared,1,1,48,96,6,4.36,normal
2026-04-01T01:45:00Z,batch-summarizer-7b,training,1,1,24,48,10,9.23,normal
2026-04-01T02:00:00Z,chat-small-8b,shared,2,2,16,64,6,8.06,normal
2026-04-01T02:00:00Z,chat-mid-34b,serving,3,3,12,72,9,65.63,normal
2026-04-01T02:00:00Z,code-assist-15b,shared,2,2,14,56,0,36.6,normal
2026-04-01T02:00:00Z,vision-chat-12b,serving,2,2,8,32,4,45.92,normal
2026-04-01T02:00:00Z,embed-small,shared,2,2,64,256,9,6.24,normal
2026-04-01T02:00:00Z,reranker-3b,shared,1,1,48,96,6,4.21,normal
2026-04-01T02:00:00Z,batch-summarizer-7b,training,1,1,24,48,5,11.09,normal
2026-04-01T02:15:00Z,chat-small-8b,shared,2,2,16,64,4,14.94,normal
2026-04-01T02:15:00Z,chat-mid-34b,serving,3,3,12,72,9,52.89,normal
2026-04-01T02:15:00Z,code-assist-15b,shared,2,2,14,56,8,33.72,normal
2026-04-01T02:15:00Z,vision-chat-12b,serving,2,2,8,32,4,31.3,normal
2026-04-01T02:15:00Z,embed-small,shared,2,2,64,256,11,9.61,normal
2026-04-01T02:15:00Z,reranker-3b,shared,1,1,48,96,9,2.54,normal
2026-04-01T02:15:00Z,batch-summarizer-7b,training,1,1,24,48,0,9.06,normal
2026-04-01T02:30:00Z,chat-small-8b,shared,2,2,16,64,3,17.56,normal
2026-04-01T02:30:00Z,chat-mid-34b,serving,3,3,12,72,6,97.79,normal
2026-04-01T02:30:00Z,code-assist-15b,shared,2,2,14,56,4,36.62,normal
2026-04-01T02:30:00Z,vision-chat-12b,serving,2,2,8,32,12,48.31,normal
2026-04-01T02:30:00Z,embed-small,shared,2,2,64,256,4,6.04,normal
2026-04-01T02:30:00Z,reranker-3b,shared,1,1,48,96,0,3.53,normal
2026-04-01T02:30:00Z,batch-summarizer-7b,training,1,1,24,48,0,7.02,normal
2026-04-01T02:45:00Z,chat-small-8b,shared,2,2,16,64,3,13.22,normal
2026-04-01T02:45:00Z,chat-mid-34b,serving,3,3,12,72,8,98.39,normal
2026-04-01T02:45:00Z,code-assist-15b,shared,2,2,14,56,7,21.85,normal
2026-04-01T02:45:00Z,vision-chat-12b,serving,2,2,8,32,5,41.44,normal
2026-04-01T02:45:00Z,embed-small,shared,2,2,64,256,6,6.26,normal
2026-04-01T02:45:00Z,reranker-3b,shared,1,1,48,96,0,5.31,normal
2026-04-01T02:45:00Z,batch-summarizer-7b,training,1,1,24,48,9,11.03,normal
2026-04-01T03:00:00Z,chat-small-8b,shared,2,2,16,64,3,7.84,normal
2026-04-01T03:00:00Z,chat-mid-34b,serving,3,3,12,72,5,69.54,normal
2026-04-01T03:00:00Z,code-assist-15b,shared,2,2,14,56,5,19.84,normal
2026-04-01T03:00:00Z,vision-chat-12b,serving,2,2,8,32,2,61.74,normal
2026-04-01T03:00:00Z,embed-small,shared,2,2,64,256,11,7.29,normal
2026-04-01T03:00:00Z,reranker-3b,shared,1,1,48,96,7,3.98,normal
2026-04-01T03:00:00Z,batch-summarizer-7b,training,1,1,24,48,6,9.96,normal
2026-04-01T03:15:00Z,chat-small-8b,shared,2,2,16,64,1,13.4,normal
2026-04-01T03:15:00Z,chat-mid-34b,serving,3,3,12,72,5,77.73,normal
2026-04-01T03:15:00Z,code-assist-15b,shared,2,2,14,56,9,28.13,normal
2026-04-01T03:15:00Z,vision-chat-12b,serving,2,2,8,32,9,36.28,normal
2026-04-01T03:15:00Z,embed-small,shared,2,2,64,256,9,10.9,normal
2026-04-01T03:15:00Z,reranker-3b,shared,1,1,48,96,6,5.29,normal
2026-04-01T03:15:00Z,batch-summarizer-7b,training,1,1,24,48,6,10.49,normal
2026-04-01T03:30:00Z,chat-small-8b,shared,2,2,16,64,2,12.84,normal
2026-04-01T03:30:00Z,chat-mid-34b,serving,3,3,12,72,0,72.49,normal
2026-04-01T03:30:00Z,code-assist-15b,shared,2,2,14,56,11,23.93,normal
2026-04-01T03:30:00Z,vision-chat-12b,serving,2,2,8,32,5,23.7,normal
2026-04-01T03:30:00Z,embed-small,shared,2,2,64,256,7,12.05,normal
2026-04-01T03:30:00Z,reranker-3b,shared,1,1,48,96,2,3.64,normal
2026-04-01T03:30:00Z,batch-summarizer-7b,training,1,1,24,48,7,5.15,normal
2026-04-01T03:45:00Z,chat-small-8b,shared,2,2,16,64,2,7.86,normal
2026-04-01T03:45:00Z,chat-mid-34b,serving,3,3,12,72,5,96.89,normal
2026-04-01T03:45:00Z,code-assist-15b,shared,2,2,14,56,7,34.32,normal
2026-04-01T03:45:00Z,vision-chat-12b,serving,2,2,8,32,11,56.08,normal
2026-04-01T03:45:00Z,embed-small,shared,2,2,64,256,8,8.49,normal
2026-04-01T03:45:00Z,reranker-3b,shared,1,1,48,96,2,4.12,normal
2026-04-01T03:45:00Z,batch-summarizer-7b,training,1,1,24,48,1,7.85,normal
2026-04-01T04:00:00Z,chat-small-8b,shared,2,2,16,64,12,7.83,normal
2026-04-01T04:00:00Z,chat-mid-34b,serving,3,3,12,72,9,51.04,normal
2026-04-01T04:00:00Z,code-assist-15b,shared,2,2,14,56,8,19.86,normal
2026-04-01T04:00:00Z,vision-chat-12b,serving,2,2,8,32,5,62.6,normal
2026-04-01T04:00:00Z,embed-small,shared,2,2,64,256,3,5.67,normal
2026-04-01T04:00:00Z,reranker-3b,shared,1,1,48,96,8,2.72,normal
2026-04-01T04:00:00Z,batch-summarizer-7b,training,1,1,24,48,3,11.21,normal
2026-04-01T04:15:00Z,chat-small-8b,shared,2,2,16,64,11,13.29,normal
2026-04-01T04:15:00Z,chat-mid-34b,serving,3,3,12,72,5,45.92,normal
2026-04-01T04:15:00Z,code-assist-15b,shared,2,2,14,56,8,20.57,normal
2026-04-01T04:15:00Z,vision-chat-12b,serving,2,2,8,32,4,40.04,normal
2026-04-01T04:15:00Z,embed-small,shared,2,2,64,256,0,7.87,normal
2026-04-01T04:15:00Z,reranker-3b,shared,1,1,48,96,8,2.03,normal
2026-04-01T04:15:00Z,batch-summarizer-7b,training,1,1,24,48,3,12.06,normal
2026-04-01T04:30:00Z,chat-small-8b,shared,2,2,16,64,0,11.74,normal
2026-04-01T04:30:00Z,chat-mid-34b,serving,3,3,12,72,11,68.7,normal
2026-04-01T04:30:00Z,code-assist-15b,shared,2,2,14,56,0,17.21,normal
2026-04-01T04:30:00Z,vision-chat-12b,serving,2,2,8,32,3,58.95,normal
2026-04-01T04:30:00Z,embed-small,shared,2,2,64,256,7,7.88,normal
2026-04-01T04:30:00Z,reranker-3b,shared,1,1,48,96,10,5.38,normal
2026-04-01T04:30:00Z,batch-summarizer-7b,training,1,1,24,48,6,11.31,normal
2026-04-01T04:45:00Z,chat-small-8b,shared,2,2,16,64,2,15.72,normal
2026-04-01T04:45:00Z,chat-mid-34b,serving,3,3,12,72,0,76.85,normal
2026-04-01T04:45:00Z,code-assist-15b,shared,2,2,14,56,9,32.33,normal
2026-04-01T04:45:00Z,vision-chat-12b,serving,2,2,8,32,10,31.98,normal
2026-04-01T04:45:00Z,embed-small,shared,2,2,64,256,5,5.48,normal
2026-04-01T04:45:00Z,reranker-3b,shared,1,1,48,96,4,4.4,normal
2026-04-01T04:45:00Z,batch-summarizer-7b,training,1,1,24,48,10,6.8,normal
2026-04-01T05:00:00Z,chat-small-8b,shared,2,2,16,64,7,16.11,normal
2026-04-01T05:00:00Z,chat-mid-34b,serving,3,3,12,72,6,45.47,normal
2026-04-01T05:00:00Z,code-assist-15b,shared,2,2,14,56,5,19.8,normal
2026-04-01T05:00:00Z,vision-chat-12b,serving,2,2,8,32,2,36.24,normal
2026-04-01T05:00:00Z,embed-small,shared,2,2,64,256,4,11.12,normal
2026-04-01T05:00:00Z,reranker-3b,shared,1,1,48,96,11,3.97,normal
2026-04-01T05:00:00Z,batch-summarizer-7b,training,1,1,24,48,11,8.43,normal
2026-04-01T05:15:00Z,chat-small-8b,shared,2,2,16,64,8,16.18,normal
2026-04-01T05:15:00Z,chat-mid-34b,serving,3,3,12,72,9,81.71,normal
2026-04-01T05:15:00Z,code-assist-15b,shared,2,2,14,56,7,36.68,normal
2026-04-01T05:15:00Z,vision-chat-12b,serving,2,2,8,32,10,51.71,normal
2026-04-01T05:15:00Z,embed-small,shared,2,2,64,256,1,12.2,normal
2026-04-01T05:15:00Z,reranker-3b,shared,1,1,48,96,4,2.01,normal
2026-04-01T05:15:00Z,batch-summarizer-7b,training,1,1,24,48,2,5.3,normal
2026-04-01T05:30:00Z,chat-small-8b,shared,2,2,16,64,8,8.98,normal
2026-04-01T05:30:00Z,chat-mid-34b,serving,3,3,12,72,10,95.83,normal
2026-04-01T05:30:00Z,code-assist-15b,shared,2,2,14,56,12,25.29,normal
2026-04-01T05:30:00Z,vision-chat-12b,serving,2,2,8,32,5,23.8,normal
2026-04-01T05:30:00Z,embed-small,shared,2,2,64,256,3,8.3,normal
2026-04-01T05:30:00Z,reranker-3b,shared,1,1,48,96,7,3.57,normal
2026-04-01T05:30:00Z,batch-summarizer-7b,training,1,1,24,48,6,8.76,normal
2026-04-01T05:45:00Z,chat-small-8b,shared,2,2,16,64,8,18.02,normal
2026-04-01T05:45:00Z,chat-mid-34b,serving,3,3,12,72,5,62.06,normal
2026-04-01T05:45:00Z,code-assist-15b,shared,2,2,14,56,10,35.29,normal
2026-04-01T05:45:00Z,vision-chat-12b,serving,2,2,8,32,4,53.8,normal
2026-04-01T05:45:00Z,embed-small,shared,2,2,64,256,7,9.23,normal
2026-04-01T05:45:00Z,reranker-3b,shared,1,1,48,96,3,2.35,normal
2026-04-01T05:45:00Z,batch-summarizer-7b,training,1,1,24,48,7,6.73,normal
2026-04-01T06:00:00Z,chat-small-8b,shared,2,2,16,64,2,18.27,normal
2026-04-01T06:00:00Z,chat-mid-34b,serving,3,3,12,72,10,59.91,normal
2026-04-01T06:00:00Z,code-assist-15b,shared,2,2,14,56,8,15.81,normal
2026-04-01T06:00:00Z,vision-chat-12b,serving,2,2,8,32,5,45.48,normal
2026-04-01T06:00:00Z,embed-small,shared,2,2,64,256,1,5.73,normal
2026-04-01T06:00:00Z,reranker-3b,shared,1,1,48,96,8,3.28,normal
2026-04-01T06:00:00Z,batch-summarizer-7b,training,1,1,24,48,2,4.63,normal
2026-04-01T06:15:00Z,chat-small-8b,shared,2,2,16,64,6,8.67,normal
2026-04-01T06:15:00Z,chat-mid-34b,serving,3,3,12,72,0,40.65,normal
2026-04-01T06:15:00Z,code-assist-15b,shared,2,2,14,56,3,15.68,normal
2026-04-01T06:15:00Z,vision-chat-12b,serving,2,2,8,32,2,61.99,normal
2026-04-01T06:15:00Z,embed-small,shared,2,2,64,256,2,9.9,normal
2026-04-01T06:15:00Z,reranker-3b,shared,1,1,48,96,6,3.62,normal
2026-04-01T06:15:00Z,batch-summarizer-7b,training,1,1,24,48,6,8.08,normal
2026-04-01T06:30:00Z,chat-small-8b,shared,2,2,16,64,9,9.78,normal
2026-04-01T06:30:00Z,chat-mid-34b,serving,3,3,12,72,6,89.08,normal
2026-04-01T06:30:00Z,code-assist-15b,shared,2,2,14,56,9,34.55,normal
2026-04-01T06:30:00Z,vision-chat-12b,serving,2,2,8,32,5,50.22,normal
2026-04-01T06:30:00Z,embed-small,shared,2,2,64,256,5,9.77,normal
2026-04-01T06:30:00Z,reranker-3b,shared,1,1,48,96,3,3.36,normal
2026-04-01T06:30:00Z,batch-summarizer-7b,training,1,1,24,48,5,8.14,normal
2026-04-01T06:45:00Z,chat-small-8b,shared,2,2,16,64,6,19.27,normal
2026-04-01T06:45:00Z,chat-mid-34b,serving,3,3,12,72,1,97.34,normal
2026-04-01T06:45:00Z,code-assist-15b,shared,2,2,14,56,11,25.38,normal
2026-04-01T06:45:00Z,vision-chat-12b,serving,2,2,8,32,12,61.42,normal
2026-04-01T06:45:00Z,embed-small,shared,2,2,64,256,6,12.71,normal
